PROP_TYPE|LIST_NO|LIST_AGENT|LIST_OFFICE|STATUS|LIST_PRICE|STREET_NO|STREET_NAME|UNIT_NO|TOWN_NUM|AREA|ZIP_CODE|LENDER_OWNED|REMARKS|PHOTO_COUNT|PHOTO_DATE|PHOTO_MASK|LISTING_ALERT|NEIGHBORHOOD|MF_TYPE|NO_UNITS|NO_FLOORS|TOTAL_RMS|GARAGE_SPACES|PARKING_SPACES|LOT_SIZE|ACRE|SQUARE_FEET|COUNTY|STATE|YEAR_BUILT|ASSESSMENTS|TAXES|TAX_YEAR|TOTAL_BRS|TOTAL_FULL_BATHS|TOTAL_HALF_BATHS|BASEMENT_FEATURE|NO_BATHS|WATERFRONT_FLAG|WATERFRONT|WATERVIEW_FLAG|WATERVIEW_FEATURES|BASEMENT|ADULT_COMMUNITY|SQUARE_FEET_INCL_BASE|SQUARE_FEET_DISCLOSURES|ELECTRIC_FEATURE|ROAD_TYPE|SHORT_SALE_LENDER_APP_REQD|AboveGradeFinishedArea|BelowGradeFinishedArea|TITLE5
"MF"|73376417|"BB809036"|"AN2726"|"ACT"|2250000|"589-591"|"Washington St"||12|"06Y"|"02446"|"N"|"Stucco Two-Family near Washington Sq and Coolidge Corner renovated in 1994. Building is deleaded.  591 Washington St has is a direct first floor entrance w/ 3 bed plus 2 bath with hardwood floors, deck, fireplace . 589 Washington Street is a 5 Bed 2 bath duplex . External parking garages, driveway, backyard. Large unfinished basement.  Heat & Electricity is separately metered. Excellent opportunity to purchase a 2 family that could be used as an income property, or extended family.   65 Bus route drops off at Longwood Medical, walk to C and D green line, Walk to stores, eateries, coffee shops, . .  Easy access to route 9, Boston, Longwood Medical area. Next to Griggs Park.  Why buy a condo when you can have your own multi family?"|27|7/15/2025 8:55:00 AM|0|"N"||"A"|2|2|14|2|6|4665|0.11|3102|"Norfolk"|"MA"|1921|1959700|19342|"2025"|7|4|0|"M"|"4f;0h"|"N"||"N"||"Y"||"N"||||"N"|3102|0|
"MF"|73383712|"BB806543"|"AC1264"|"ACT"|6600000|"197-199"|"Winchester St"||12|"06Y"|"02446"|"N"|"New Renovation Plus Addition Two Family with exceptional rental potential. This one-of-a-kind home has been tastefully renovated with luxurious designer finishes. Each home features large rooms with great closet space, open living areas and exceptional private outdoor spaces including private yards and the roof deck of your dreams.  Each unit has private entrances with no common space under the roof making efficient use of all the potential living space. There is extra storage for each unit in the basement/garage level. 4 garage parking spaces plus a large driveway that can accommodate additional vehicles.  Those looking to owner occupy can benefit from 3 garage parking spaces plus outdoor parking while still offering a direct access and unblocked garage parking to their tenant. Rent potential of $15,000 to $20,000 per month for each unit, $35,000 to $40,000 gross rents."|37|6/2/2025 11:42:00 AM|0|"N"||"A"|2|2|22|4|3|7501|0.17|5957|"Norfolk"|"MA"|1925|2235600|22065|"2025"|8|6|2|"A,D,F,G,H"|"6f;2h"|"N"||||"Y"||"Y"||"A,D,W,X"|"A"|"N"|5160|797|
"MF"|73389016|"TM321984"|"AN3108"|"ACT"|2950000|"11"|"Abbottsford Road"||12||"02446"|"N"|"Eleven rooms in large apartment with a sep. two room apartment also on first. flr. Built in 1895 by Peter Grafffam. The architects were Greenleaf and Cobb. The house retains much of the original detail; an L-shaped veranda and 2-story bay windows, leaded/stained glass. A capacious entry with golden oak staircase and wainscotting opens to beautiful LR with bookcases and fireplace, a gracious dining room, and a bright kitchen w/ induction cooking, oak cabinets and quartz counters.  Access to private garden. Staircase includes magnificent leaded glass windows and leads to peaceful refuge of 2-room primary suite: Bedroom, sitting room with fireplace, and ensuite bath with lovely tile and marble accents. Two more bedrooms, a hall bath, and a laundry closet complete the second floor. The third floor has a great room with vaulted ceiling, skylights, for billiards, movies, or yoga. Three more bedrooms/offices and a hall bath.  Many updates: heat/AC heat pump. Access to Univ./Medical/Boston."|23|6/11/2025 8:58:00 AM|0|"N"||"A"|2|3|13|1|3|6660|0.15|4720|"Norfolk"|"MA"|1898|2688200|23112|"2025"|8|4|1|"A,I,Q"|"4f;1h"|"N"||||"Y"||"N"|"Liv. area includes 1st flr. apt. and is total measured square footage: different from Town assessors"|"H"|"A"|"N"|4720||
"MF"|73392360|"TEAM0418"|"AN3337"|"ACT"|3750000|"87"|"Greenough St"||12|"06W"|"02445"|"N"|"In a prime Brookline Village neighborhood near the high school, this impeccably renovated two-family home sit on a beautifully landscaped 7,496 square foot lot. It includes a 2 car garage with 2 EV chargers, 3 additional parking spaces, central AC in the upstairs unit and separately metered systems for each unit, making it a prime condo conversion or a turnkey investment property. Only 1/3 of a mile to the Brookline Hills T station and 1/2 mile to the village. The upstairs “owner’s unit” was extensively renovated from 2014-15 and offers 4-5 bedrooms and 4 full bathrooms across two levels of living space, plus private front and back decks. It includes an eat-in kitchen with high-end appliances and a bespoke walk-in pantry. The upper-level primary suite has an amazing dressing room with several walk-in closets. The first-floor unit has 3 bedrooms, 2.5 bathrooms and in-unit laundry. The basement has a bonus room, plus storage for each unit. Two covered porches; gorgeous patio and yard."|31|6/17/2025 6:09:00 PM|0|"N"||"G"|2|3|16|2|3|7497|0.17|4689|"Norfolk"|"MA"|1920|3376600|33327|"2025"|7|6|1|"E,F,G,J,R"|"6f;1h"|"N"||||"Y"||"N"|"living area from architect plans. Does not include approx. 300sf semi finished room in lower level."|"D,J"|"A,C"|"N"|4689||
"MF"|73392966|"CN204190"|"AN7847"|"ACT"|6100000|"116"|"Thorndike Road"||12||"02446"|"N"|"Welcome to this rare opportunity to own a meticulously maintained luxury multi-family estate in one of Brookline’s most prestigious neighborhoods. Nestled on a tree-lined street just minutes from Coolidge Corner, Longwood Medical Area, and Downtown Boston, this stately property offers timeless elegance, modern upgrades, and unmatched versatility for owner-occupants or savvy investors. Featuring 2 spacious units with 4 bedroom and 3.5 bathrooms, this residence showcases sun-drenched interiors, soaring ceilings, and exquisite architectural detail throughout. Each unit boasts gourmet chef’s kitchens, high-end appliances, designer finishes, and spa-inspired baths. Private outdoor spaces, custom mill work, hardwood floors, and oversized windows complete the upscale living experience. The property includes 2 deeded off street parking spots per unit and electric charge ports, offering a rare blend of comfort, luxury, and investment potential!"|42|6/18/2025 1:27:00 PM|0|"N"||"G"|2|4|14|0|4|6000|0.14|6000|"Norfolk"|"MA"|1895|999999999|99999999|"2025"|8|6|2||"6f;2h"|"N"||||"N"||"Y"|||"A,C"|"U"|5200|800|
"MF"|73400257|"BB904200"|"AN6227"|"ACT"|3400000|"12"|"Williams"||12|"06Y"|"02446"|"N"|"Attention Developers and owner-users looking to build their dream homes!  Rarely available opportunity to purchase an approved development (seller is open to deliver within weeks with permit in hand) site in the heart of Coolidge Corner Brookline, Greater Boston's most desirable location for new luxury condos. Masterfully designed by one of Brookline's most respected architects, this site allows for the new construction of two stunning townhouses, each with two-car garage parking and private elevator and expansive layout of 3 bedrooms and 3.5 baths, plus the conversion of an existing building into a third free-standing luxury studio condo. Beautifully set off Harvard Street, allowing easy access to Brookline's best shops, dining, and the MBTA Greenline for a short ride to Boston.  Priced to sell.  Can be delivered with permit - approved plans are available for review."|4|7/7/2025 12:42:00 PM|0|"N"||"B"|3|3|13|4|4|5502|0.13|5250|"Norfolk"|"MA"|2025|1611400|15743|"2024"|6|7|2||"7f;2h"|"N"||||"N"||"N"|"Approximate - includes two new townhouses plus 500 sf current free-standing garage -> Lux Studio"||"A"|"N"|5250||
"MF"|73400447|"TM357921"|"AN3108"|"ACT"|16000000|"108-116"|"Winthrop Rd"||12||"02445"|"N"|"We are pleased to present the opportunity to acquire 108-116 Winthrop Road, a boutique 18-unit, 100% market rate apartment building located in the heart of Brookline, Massachusetts. The property is situated in one of the most sought after streets in the coveted Washington Square neighborhood.  The building features charming common area spaces, attractively landscaped grounds, 14 on-site parking spaces, five (5) 3-bedroom units, ten (10) 3-bedroom units with dens and three (3) 3-bedrooms with two bathrooms units. All the apartment units offer large floor plans with oversized bedrooms, high ceilings, hardwood floors, large closets, and abundant natural light. Units have been updated with renovated kitchens and bathrooms. With these upgrades, and significantly below market rents, a new owner could significantly increase rents. The building is located a short walk from the MBTA Green line and a variety of bus routes. Group showings 7/8 & 7/10"|17|7/7/2025 4:35:00 PM|0|"N"||"P"|18|3|99|0|14|8726|0.2|34849|"Norfolk"|"MA"|1910|1066600|105273|"2025"|54|21|0|"A,M"|"21f;0h"|"N"||||"Y"||"Y"|||"A"|"N"|26140|8709|
"MF"|73350880|"TEAM0218"|"AN6190"|"ACT"|2200000|"43"|"Lincoln Street"||13|"43S"|"02141"|"N"|"Welcome to 43 Lincoln St.- a 3 family, 2 1/2 story investment property consisting of: TWO  -2 bedroom /1 bath units and ONE (1)  bedroom/1 bath unit. Off street parking for 3 cars and separately metered utilities.  U1 rent is $2900/mo, U2 $3200/mo and U3 $2500, offering an investor seeking excellent income producing investment return with a solid rental history,  Located in the Wellington-Harrington neighborhood, the area offers shopping, restaurants, entertainment options as well as proximity to public transportation.  Conveniently situated in close proximity to Kendall Sq., MIT, Harvard.  All this on a tree lined residential street!  Please allow 24 hour notice for showings."|26|3/27/2025 8:26:00 AM|0|"N"||"B"|3|3|12|0|3|1815|0.04|2464|"Middlesex"|"MA"|1854|1582000|10328.02|"2025"|5|3|0|"M,Q"|"3f;0h"|"N"||"N"||"Y"|"N"|"N"||"D"|"A"|"N"|2464||
"MF"|73363896|"CN201370"|"AN7557"|"ACT"|3250000|"195"|"Green Street"||13|"CNS"|"02139"|"N"|"Incredible opportunity to own a prime 4 unit investment property located in the heart of Central Square! Composed of four spacious 4 bedrooms layouts, with approximately 5,000 sf of livable space. Professionally managed rental property that currently boasts an impressive $223,800 rent roll projected to appreciate to $239,400 for the 2025-2026 leasing cycle. Each unit has 4 spacious bedrooms, high ceilings, central AC and a flexible floor plan with so much untapped potential to create even more long term value. Additional amenities include a recently renovated courtyard with private entry access, an on site coin op laundry room and ample storage space in the basement. Prospective investors will be able to capitalize on convenient proximity to Central Sq, Inman, E Cambridge, MIT, the Red Line T, downtown Boston, and some of the most vibrant restaurants in the city. All 4 units have been converted into condos providing flexibility and lucrative long term potential for savvy investors!"|17|4/23/2025 9:45:00 PM|0|"N"||"C"|4|4|24|0|0|4420|0.1|5000|"Middlesex"|"MA"|1920|3500000|16415|"2024"|16|4|0||"4f;0h"|"N"||||"Y"||"N"|"Square footage is approximate"||"A"|"N"|5000||
"MF"|73374339|"TM359859"|"AN2723"|"ACT"|4700000|"25-27"|"Marney St"||13||"02141"|"N"|"25-27 Marney St is a three-story multi-family building, contains a total of six units, and is comprised of (3) 4-Bed/1-Bath units and (3) 3-Bed/1-Bath units. The Property has undergone extensive renovations since acquisition, offering a turnkey investment with condo-quality upgrades throughout. Units feature newer kitchens with white quartz countertops, modern cabinets, and stainless-steel appliances, including gas stoves and dishwashers, hardwood floors throughout, newer bathrooms, in-unit washers and dryers (in select units), forced hot-air as well as central air conditioning. Each of the units are separately metered for gas heat, hot water and electric. There is 1 tandem off-street parking space, and an on-site laundry facility for those who do not have in-unit laundry. 25-27 Marney Street offers the opportunity to acquire a fully leased, turnkey investment Property with upside in an exceptional, urban-infill location."|21|5/14/2025 8:51:00 AM|0|"N"||"E"|6|3|33|0|1|3920|0.09|6588|"Middlesex"|"MA"|1900|3313700|21654|"2025"|21|6|0|"Q"|"6f;0h"|"N"||||"Y"||"N"||"J"||"N"|6588||
"MF"|73375429|"TM359859"|"AN2723"|"ACT"|5500000|"294-302"|"Windsor St"||13||"02139"|"N"|"294-302 Windsor St consists of 2 buildings containing a total of 8 units: (6) 3-Bed/1-Bath units, (1) 2-Bed/1-Bath unit, and one 1st floor commercial unit. There is a 3-car garage located on the Hampshire Street side of the asset. Building 1 is a mixed-use building consisting of 6 units with (5) 3-Bed/1-Bath units and Gypsy Café & Bar. Building 2 is a 2-unit property consisting of (1) 3-Bed/1-Bath unit and (1) 2-Bed/1-Bath unit. Residential units feature newer kitchens with granite countertops, white cabinets, and stainless-steel appliances, including gas stoves and dishwashers, hardwood floors throughout, newer bathrooms as well as in-unit washers and dryers. Each of the units is separately metered for gas heat, hot water and electricity. 294-302 Windsor St offers the opportunity to acquire a fully leased investment Property with upside in an exceptional, urban-infill location. The subject property is ideal for a potential buyer looking for income growth and strong investment returns."|22|5/15/2025 8:20:00 AM|0|"N"||"E"|8|3|34|3|0|6534|0.15|7765|"Middlesex"|"MA"|1900|3664300|26679|"25"|20|7|0||"7f;0h"|"N"||||"Y"||"N"||"J"||"N"|7765||
"MF"|73381138|"CN212090"|"AN6200"|"ACT"|1300000|"61"|"Gold Star Road"||13|"NCM"|"02140"|"N"|"Nestled in desirable North Cambridge, right on the Somerville line and just moments from vibrant Davis Square, this well-maintained two-family home presents a rare opportunity for homeowners and investors alike.Property updates include a newer roof, gutters, and a freshly painted exterior—all completed in 2021. This legacy home offers flexible living arrangements with two distinct units: a one-bed/one-bath on the first floor and a spacious four-bed/one-bath spanning the second and third levels.Whether you're seeking an income-generating property, a multi-generational living setup, or envision converting it into a stunning single-family residence or condominiums, this versatile home checks all the boxes. Enjoy easy access to public transit, restaurants, shops, and everything Davis Square has to offer—all while tucked into a residential neighborhood known for its charm and convenience."|38|5/28/2025 1:03:00 PM|0|"N"||"G"|2|3|11|0|0|2012|0.05|2289|"Middlesex"|"MA"|1903|1057700|6716|"2025"|5|2|0|"A"|"2f;0h"|"N"||||"Y"||"N"|||"A"|"N"|2289||
"MF"|73385278|"TM008732"|"BB5474"|"ACT"|1745000|"9-11"|"Edmunds St"||13||"02140"|"N"|"Don’t miss this updated 2-family home located on a quiet dead-end street just moments from the vibrant energy of Davis Square. The bike path right outside your door offers a scenic and direct route, making this a true commuter’s dream.Unit 1 is a charming 2-bedroom, 1-bath unit with stylish updates. Unit 2 is a spacious 5-bedroom, 2-bath upper duplex featuring in-unit laundry and ample living space. Recent upgrades include new kitchens, bathrooms, windows, exterior paint and a new roof. The property also offers 3 off-street parking spaces and a welcoming front porch. Bonus: Zoning study shows potential for a by right redevelopment into 6 units with approximately 3,975 SF of sellable space—envision a rear addition and full third floor with mezzanine. A rare opportunity to own a move-in-ready asset with significant upside."|30|6/4/2025 11:49:00 AM|0|"N"||"A"|2|3|11|0|3|2659|0.06|2410|"Middlesex"|"MA"|1910|1115100|7081|"2025"|7|2|0|"Q"|"2f;0h"|"N"||"N"||"Y"||"N"||||"N"|2410||
"MF"|73386378|"NB900545"|"NB9303"|"ACT"|1049000|"110"|"Reed St"||13||"02140"|"N"|"Prime location! This carefully detailed two-family home presents a rare opportunity to enjoy spacious living within the preferred Cambridge/Davis Square neighborhood. Originally built as a single-family residence, this home offers many options across two levels of living on a favored street. Natural light generously pours through the windows of this sun-filled home. The property is convenient to Davis Square, the Red Line T, Tufts University, numerous restaurants, shopping venues and several parks. Many original details remain, including generously sized windows for an abundance of natural light, tin ceilings, entrance foyer, well-proportioned rooms and ample outdoor space. With a private yard for gardens and patio, this offering, in need of renovation, provides a rare opportunity for visionaries, developers, or investors. Enjoy exceptional city living within Cambridge's unique cultural, academic, and business community."|18|6/5/2025 1:19:00 PM|0|"N"||"A"|2|2|8|0|0|2499|0.06|1795|"Middlesex"|"MA"|1870|923500|5864|"2025"|4|2|1|"A,E"|"2f;1h"|"N"||||"Y"||"N"|||"A"|"N"|1795||
"MF"|73389500|"BB910089"|"AN6190"|"ACT"|2750000|"12"|"Merrill Street"||13||"02139"|"N"|"This grand Merrill Street three family, circa 1916, showcases quality, spaciousness and elegant floor plan with high ceilings, faux fireplaces entrance halls and rich architectural detail. Lovingly cared for and enjoyed by three generations of the same family, it now provides the opportunity for rental investors, owner occupancy and developers. The welcoming vestibule opens to a grand front hall staircase that leads to 18 total rooms that are split into three apartments of 6 rooms. Each apartment has a welcoming foyer, lovely living room with bay windows, dining room with natural woodwork, china cabinet, three bedrooms, nicely updated bath and updated kitchen, generous pantry and porch. Additional features include gleaming hard wood floors, replacement windows, and electrical upgrade. Convenient to all Cambridge has to offer, including only a little over half-mile to both Harvard & Central Squares, public transportation, numerous restaurants options and shopping venues"|33|6/11/2025 3:38:00 PM|0|"N"||"J"|3|3|18|1|1|3250|0.07|3429|"Middlesex"|"MA"|1916|2359100|12145.2|"2025"|9|3|0|"A,F,G"|"3f;0h"|"N"||||"Y"||"N"||"D"|"A"|"N"|3429||
"MF"|73392767|"CN206657"|"NB3534"|"ACT"|1295900|"31"|"Hunting St"||13||"02141"|"N"|"Discover 31 Hunting Street—a move-in ready multi-family home in a highly desirable Cambridge location with driveway parking! This well-maintained property offers a host of recent upgrades, including new combination boilers, updated electrical, a new rubber membrane roof, Hardie board siding, and updated vinyl replacement windows. The entire interior has been freshly painted, and the hardwood floors have been beautifully refinished. Updated kitchens provide modern functionality and style, while expansive back decks overlook a large backyard—perfect for outdoor enjoyment. Ideal for those looking to generate immediate income or occupy one unit while benefiting from additional rental revenue, this property is a smart investment with long-term appeal. Don’t miss the opportunity to own a solid, upgraded property in one of Cambridge’s most sought-after locations."|33|6/26/2025 12:25:00 PM|0|"N"||"A"|2|2|10|0|2|2351|0.05|1552|"Middlesex"|"MA"|1894|980400|6226|"2025"|4|2|0|"I"|"2f;0h"|"N"||"N"||"Y"||"N"|"Measurements are approximate and need to be verified by buyer."||"A"|"N"|1552||
"MF"|73392816|"TM351307"|"AN2064"|"ACT"|6250000|"89-91-95"|"Kirkland St"||13|"HVS"|"02138"|"N"|"Offered as a rare package deal, these three modern townhomes on Kirkland Street built in 2015 are just moments from Harvard, Inman, and Porter Squares, combining space, style, and location in one of Cambridge’s most connected and vibrant neighborhoods. Each home features an open floor plan with soaring ceilings, sun-drenched living areas, and kitchens designed for gathering. Private outdoor spaces - patios, decks, or balconies - offer a quiet retreat or the perfect setting to entertain. Primary suites include walk-in closets and ensuite baths, while top-floor bedrooms, some with balconies, share skylit bathrooms filled with natural light. Floor-to-ceiling windows, attached garages, and quality finishes throughout make this a unique opportunity for investors, extended families, or those seeking flexible living in a prime location."|26|6/18/2025 11:35:00 AM|0|"N"||"I"|3|3|18|3|0|0|0|5611|"Middlesex"|"MA"|2015|6228200|36469|"2025"|9|9|3|"E,H"|"9f;3h"|"N"||||"Y"||"Y"|"SF from Condo plan"|"D"|"A"|"N"|5223|388|
"MF"|73394837|"TM317488"|"AN4873"|"ACT"|4645000|"140"|"Otis Street"||13|"ECM"|"02141"|"N"|"Rarely offered LUXURY 2 family home comprised of 2 townhome stye units in a gut renovated mansion each close to 4000 Sq. Ft.. There are impressive gourmet kitchens boasting Thermador appliances,  double ovens with a glass front, five-burner gas cooktop, & a direct vent stainless steel hoods—perfect for culinary enthusiasts.  High ceilings extend throughout the open modern floorplans, providing inspirational living & entertaining. Elegant staircases & new energy-efficient grand-sized windows enhance the open, light-filled layout. The fully finished lower level provides space for a media room & exercise space. This exquisite Queen Anne façade residence features a stunning, fresh, white, modern exterior with Victorian bow windows, Greek Revival columns, & intricate dentil molding. The exterior patio offers ample space for outside entertaining or an off-street parking space—minutes from MIT, Kendall Sq.,& the new Green Line. Great investment with great cap rate and huge upside potential."|40|6/22/2025 7:33:00 AM|0|"N"||"F"|2|4|18|0|2|3500|0.08|7900|"Middlesex"|"MA"|2024|9999999|9999|"2024"|8|8|2|"A,D"|"8f;2h"|"N"||"N"||"Y"||"Y"|"Full finished basement on both sides of side by side homes."||"A"|"N"|6000|1900|
"MF"|73395128|"CT003909"|"AN6656"|"ACT"|6000000|"31-33"|"Mellen Street"||13||"02138"|"N"|"Presenting the opportunity to acquire 31 & 31 Mellen St, two institutionally owned and maintained buildings located between Harvard and Porter Squares in Cambridge, MA. Currently configured as a dormitory and office, the buildings offer immense value-add through redevelopment to multifamily residential or condominium conversions among other value-add potential and strategies. 31 & 33 Mellen St greatly benefit from their prime location in the Baldwin neighborhood of Cambridge. Multiple Universities have a significant presence in the area, which include academic and student housing facilities for both Harvard University and Lesley University. The properties are part of the Mellen Street Collection, a portfolio of four buildings located on Mellen Street. Investors are invited to bid on the portfolio, sub-portfolios or individual buildings. Lot is shared between 31 and 33 Mellen St, the City of Cambridge Assessor website data is incomplete for lot and building size."|14|6/23/2025 11:37:00 AM|0|"N"||"E"|9|3|9|0|0|9999|0.23|9999|"Middlesex"|"MA"|1890|9|9|"2025"|9|9|9||"9f;9h"|"N"||||"N"||"N"|"City of Cambridge Assessor's Database is incomplete"|||"N"|9999||
"MF"|73395131|"CT003909"|"AN6656"|"ACT"|5500000|"35"|"Mellen Street"||13||"02138"|"N"|"Presenting the opportunity to acquire 35 Mellen Street, an institutionally owned and maintained building located between Harvard Square and Porter Square in Cambridge, Massachusetts. Currently configured as a dormitory, the building offers immense value-add through redevelopment to multifamily residential or condominium conversions as well as the potential for new, ground-up residential construction, among other value-add potential and strategies. Situated between Harvard and Porter Squares, 35 Mellen St greatly benefits from its prime location in the Baldwin neighborhood of Cambridge. Multiple Universities have a significant presence in the area, which include academic and student housing facilities for both Harvard University and Lesley University. The property is part of the Mellen Street Collection, a portfolio of four buildings located on Mellen Street. Investors are invited to bid on the portfolio, sub-portfolios or individual buildings."|5|6/23/2025 11:38:00 AM|0|"N"||"E"|9|3|9|0|0|7569|0.17|8576|"Middlesex"|"MA"|1890|9|9|"2025"|9|9|9||"9f;9h"|"N"||||"N"||"N"||||"N"|8576||
"MF"|73395132|"CT003909"|"AN6656"|"ACT"|4000000|"37"|"Mellen Street"||13||"02138"|"N"|"Presenting the opportunity to acquire 37 Mellen Street, an institutionally owned and maintained building located between Harvard Square and Porter Square in Cambridge, Massachusetts. Currently configured as an office, the building offers immense value-add through redevelopment to multifamily residential or condominium conversions as well as the potential for new, ground-up residential construction, among other value-add potential and strategies. Situated between Harvard and Porter Squares, 37 Mellen St greatly benefits from its prime location in the Baldwin neighborhood of Cambridge. Multiple Universities have a significant presence in the area, which include academic and student housing facilities for both Harvard University and Lesley University. The property is part of the Mellen Street Collection, a portfolio of four buildings located on Mellen Street. Investors are invited to bid on the portfolio, sub-portfolios or individual buildings."|9|6/23/2025 11:38:00 AM|0|"N"||"E"|9|3|9|0|0|5940|0.14|6203|"Middlesex"|"MA"|1890|9|9|"2025"|9|9|9||"9f;9h"|"N"||||"N"||"N"||||"N"|6203||
"MF"|73396601|"CN231626"|"AN8801"|"ACT"|3500000|"302"|"Brookline St"||13||"02139"|"N"|"Presenting 302 Brookline St, a single family home in prime Cambridgeport neighborhood facing Hastings Square. 0.5 miles to MIT, 0.6 miles to Boston University, 0.8 miles to Central Square, 1.2 miles to Harvard Business School, 1.5 miles to Harvard Square and minutes to the Mass Pike and downtown Boston. Buyers to do ALL due diligence."|5|6/25/2025 4:09:00 PM|0|"N"||"G"|2|3|11|0|2|5000|0.11|3052|"Middlesex"|"MA"|1894|2533300|16086|"2025"|5|2|1|"A"|"2f;1h"|"N"||||"Y"||"N"||||"N"|3052||
"MF"|73399660|"BB302095"|"AN6740"|"ACT"|2900000|"453"|"Huron Ave"||13|"WCM"|"02138"|"N"|"Will Not Last! Re-zoned! By right, builders and developers may build up to 9 market rate units on this 61.09 ft. frontage! x 85.0 ft. depth, level lot of 5193 sq. ft., elevation 38 ft! (low flood potential), has existing home. By right, the maximum buildable size appears to be 51.09 ft. by 65 ft. with 4 above ground levels and a basement level. That's 14,000 sq ft of usable living space! With basement parking - still 11,000 sq ft living space! Huron Ave. was completely rebuilt in 2016, providing all new service mains for water, sewer, gas, and electricity. One block to Harvard Sq. bus stop, trip 5 min. The best neighborhood in Cambridge!"|23|7/13/2025 10:30:00 AM|0|"N"||"A"|2|3|15|0|6|5193|0.12|2920|"Middlesex"|"MA"|1901|2059000|13066|"2025"|7|2|0|"A"|"2f;0h"|"N"||"N"||"Y"|"N"|"N"||"A,H"|"A,C,E,I"|"N"|2920||
"MF"|73400682|"CN204266"|"AN4643"|"ACT"|1700000|"84-86"|"Aberdeen Avenue"||13|"WCM"|"02138"|"N"|"Freshly renovated & lead paint compliant, this 2-fam in West Cambridge offers exceptional flexibility for investors or owner-occupants. Each spacious unit features modern systems & stylish finishes: full electric rewiring, new plumbing, new siding, oil-to-gas HVAC conversion, newer windows, & private laundry. Both layouts include 2 bd/1 ba, with the upper unit offering a bonus office/3rd bd. Kitchens shine with new counters & SS appliances, baths are tastefully updated & original hardwood floors thoughtfully restored. Private entrances & fully independent systems enhance livability & rental appeal. City-approved plans for attic & basement expansion unlock future upside. The widened driveway & professional landscaping add curb appeal, while parking for 4+ cars (2 tandem spaces per unit, side-by-side—not blocked) ensures practicality. A rare, truly turn-key, lead-safe property in a sought-after location offering strong rental potential, low maintenance, & room for future growth."|41|7/8/2025 10:33:00 AM|0|"N"||"G"|2|2|9|0|4|4999|0.11|2178|"Middlesex"|"MA"|1905|2405000|15272|"2025"|4|2|0|"A,M,Q,R"|"2f;0h"|"N"||||"Y"||"N"||"D,H"|"A"|"N"|2178||
"MF"|73401238|"B8001197"|"AN6884"|"ACT"|2000000|"127"|"Amory St"||13||"02139"|"N"|"Introducing a truly unique opportunity in the heart of Cambridge’s vibrant Inman Square :a well-maintained 3-family home just steps from eclectic shops, restaurants, & public transit. This distinctive property stands out not only for its character and location, but also for its rare development potential: it can be purchased individually or combined with the adjacent property to create a larger-scale project (buyers to perform their own due diligence). Each of the 3 units features functional layouts and classic charm, making the home ideal for investors, developers, or owner-occupants looking to live in one unit while generating rental income from the others. The building is fully tenanted, offering immediate cash flow, with strong rental history & future upside.Minutes to Harvard, MIT, Kendall Square, & downtown Boston. Combine it with the neighboring parcel to explore potential expansion, condo conversion, or multi-unit redevelopment in one of Cambridge’s most sought-after urban hub."|36|7/9/2025 3:17:00 PM|0|"N"||"B"|3|3|7|0|0|2589|0.06|1300|"Middlesex"|"MA"|1902|1382900|8781|"2025"|3|3|0|"E"|"3f;0h"|"N"||"N"||"Y"||"N"|"living area is from public record and may not be accurate"||"A"|"N"|1300||
"MF"|73401239|"B8001197"|"AN6884"|"ACT"|3200000|"119"|"Amory St"||13|"INM"|"02139"|"N"|"Rare Development Opportunity in Inman Square :Two 2-Family Homes on One Lot + Adjacent Parcel Available Located in the heart of Cambridge’s vibrant Inman Square, this rare offering features two separate 2-family homes on a single lot, presenting an exceptional opportunity for investors, developers, or owner-occupants. With four total units and strong rental history, the property is ideal as-is or can be combined with the adjacent parcel (also available for sale) to unlock significant development potential in one of the city's most desirable neighborhoods (buyers to perform due diligence). The lot includes a small outdoor space and 4 off-street parking spots, adding further appeal for tenants and future residents alike. Just steps from Inman Square’s renowned restaurants, shops, and public transportation, and minutes to Harvard, MIT, and Kendall Square, this property is perfectly positioned for both immediate income and long-term upside. Opportunities like this are few and far between."|42|7/9/2025 3:17:00 PM|0|"N"||"G"|4|2|12|0|4|4638|0.11|1676|"Middlesex"|"MA"|1900|1838000|11671|"2025"|4|4|0|"A"|"4f;0h"|"N"||"N"||"Y"||"N"|"two buldings on one lot- living area from public record and may not be accurate"||"A"|"N"|1676||
