PROP_TYPE|LIST_NO|LIST_AGENT|LIST_OFFICE|STATUS|LIST_PRICE|STREET_NO|STREET_NAME|UNIT_NO|TOWN_NUM|AREA|ZIP_CODE|LENDER_OWNED|REMARKS|PHOTO_COUNT|PHOTO_DATE|PHOTO_MASK|LISTING_ALERT|NEIGHBORHOOD|COUNTY|STATE|CI_TYPE|SPACE_AVAILABLE|RSU_UNITS|RSF_BLDG_SF|OFU_UNITS|OFF_BLDG_SF|REU_UNITS|REF_BLDG_SF|WAU_UNITS|WAF_BLDG_SF|MAU_UNITS|MAF_BLDG_SF|NO_STORIES|TOTAL_UNITS|TOTAL_BLDG_SF|LOT_SIZE|ACRE|PARKING_SPACES|PARKING_FEATURE|SHORT_SALE_LENDER_APP_REQD
"CI"|73302892|"TM200171"|"G95022"|"ACT"|10.71|"500"|"Maplewood Ave"|"B"|1175||"03801"|"N"|"Four overhead doors fronting on the Route 1 Bypass in Portsmouth, less than a half mile from the Portsmouth Traffic Circle and Interstate 95. Formerly Hanscom's Truck Stop, this lease can come fully outfitted with a tire balancer, compressor, tire machine, truck tire racks, and other equipment to operate a high-volume tire shop. This is an NNN lease. The tenant would pay their proportionate share of property expenses and utilities in addition to base rent. All information was obtained from the landlord and public records. Prospective tenants are encouraged to conduct any necessary due diligence concerning a contemplated tenancy."|20|10/16/2024 1:22:00 PM|0|"N"||"Rockingham"|"NH"|"A"|"B"|0|0|0|0|0|0|0|0|1|3921|3|1|3921|48787|1.12|15|"F,J,N,S"|"N"
"CI"|73303072|"TEAM0185"|"AC1635"|"ACT"|875000|"19"|"Exchange Street"||47||"01746"|"N"|"Great opportunity to own a well-maintained commercial building with two separate office spaces - each one with a separate entrance. This property has a prime location in downtown Holliston convenient to shops, restaurants, parks, the rail trail, public parking & more! The larger office has great space offering a reception area, conference room, four-to-five private office suites, six open cubicle work stations, a print room, plus a lunch room and two bathrooms. The layout is open and provides flexibility for easily retrofitting the space to suit a variety of needs. The second smaller space is ideal for types of professions that require a reception area, office, treatment room & bathroom. Both office spaces are bright and clean. In addition, there are 6 to 8 parking spaces on-site, plus additional off-site public parking at the lot nearby on Exchange Street. Enjoy super accessibility to I-495, the Mass Pike & commuter rail. Leasing options also available."|41|10/16/2024 4:15:00 PM|0|"N"||"Middlesex"|"MA"|"E"|"A"|0|0|2|3348|0|0|0|0|0|0|1|2|3348|8276|0.19|8|"A,N,S"|"N"
"CI"|73303416|"CN221357"|"D95032"|"ACT"|700|"121"|"Brick Kiln Road"|"211"|376||"01824"|"U"|"Furnished Individual Private Office with Window Available for Lease on the Chelmsford/Billerica Line! Space comes with access to two shared conference rooms on the second floor and a newly renovated break area on the first floor. Office is located on the 2nd floor with elevator access. Gas, electric, water and the tenant's portion of the Common Area Maintenace/NNN are INCLUDED in the base rent. Phone/internet expense is the tenant's responsibility. Half mile to Rte. 3 and 2 miles to I-495."|10|11/4/2024 11:12:00 AM|0|"N"||"Middlesex"|"MA"|"E"|"B"|0|0|1|150|0|0|0|0|0|0|2|1|150|182080|4.18|1||"U"
"CI"|73303442|"CN221357"|"D95032"|"ACT"|10|"76"|"Pleasant Street"||371||"01826"|"U"|"3,000-10,000 SF of first floor industrial/flex space available for lease at 76 Pleasant Street in Dracut, MA, Space consists of open warehouse space, an office, two restrooms and access to a loading dock. Located close to the intersection of Lakeview Ave and Pleasant Street. Close proximity to the University of Massachusetts Lowell."|6|10/17/2024 11:12:00 AM|0|"N"||"Middlesex"|"MA"|"B"|"B"|0|0|0|0|0|0|1|10000|0|0|4|||90604|2.08|1||"U"
"CI"|73303482|"CN221357"|"D95032"|"ACT"|16|"114"|"Turnpike Road"|"4"|376||"01824"|"U"|"First Floor Flex Space Available for Lease at 114 Turnpike Road in Chelmsford, MA. Unit 4 (4,416 +/- SF) - Flex space with an overhead garage door leading into the warehouse, large conference room and training room, kitchenette and multiple private offices. Parking in the front and behind the building. Approximately a mile to I-495 and 2 miles to Rte. 3 for easy highway access. Close proximity to restaurants, banks, gyms and more in Chelmsford Center."|7|10/17/2024 11:57:00 AM|0|"N"||"Middlesex"|"MA"|"A"|"B"|0|0|1|3864|0|0|1|552|0|0|1|1|4416|2178|0.05|1||"U"
"CI"|73303495|"C9501235"|"AC0727"|"ACT"|20|"104"|"Newbury St"|"2"|315||"01960"|"N"|"Class A office space on second floor , like new. Built in 2013 and never used. Sits above the Northshore Home Medical Supply business. Walk up to 6 offices with large conference room and two handicapped  bathrooms. One has a shower. The rooms are large , fully heated and air conditioned. All utilities are included in the rent. The site has great visibility with 50,000 cars per day by the site. Plenty of parking on site.  All parking is common with the Pharmacy. Landlord will allow signage at front of building.   This is the best office space on Rte. 1 southbound. Rte. 128 and 95 are a few minutes away, and reversing direction on Rte. 1 is simple with jug handles both north and south of you. Asking $20.00/ sq. ft.  NNN . Come see this! Possible division of space available( range of 1200-3600 sq. ft.) See attached floor plan for more info."|1|10/28/2024 11:40:00 AM|0|"N"||"Essex"|"MA"|"A"|"B"|0|0|1|3600|1|3600|0|0|0|0|2|1|3600|20908|0.48|25||"N"
"CI"|73303498|"TM342293"|"AN4850"|"ACT"|2200000|"259"|"Elm St"||346||"01913"|"N"|"Exciting opportunity! With new zoning allowing conversion from office park to residential use through a special permit, this remarkable multi-building property in the highly desirable ""Golden Triangle"" offers endless possibilities. Situated at the intersection of I-495, I-95, and Route 110, the location provides unmatched accessibility. A charming 1850s farmhouse anchors the property, including two additional relocated buildings and one built in 2009. With 45 parking spaces, fire suppression systems, central station monitoring, sprinklers in all buildings, a central garden, and play structures, the potential for residential development is vast. This unique property is also available for lease—explore the possibilities today!"|29|10/17/2024 12:24:00 PM|0|"N"||"Essex"|"MA"|"G"|"C"|0|0|4|8709|0|0|0|0|0|0|2|4|8709|250906|5.76|45|"K,L,N,R"|"N"
"CI"|73303658|"CN214919"|"AN5129"|"ACT"|1850000|"1615-1609"|"Osgood St"||362||"01845"|"N"|"2 Properties! Have you always dreamed of owning your own successful business and an income property!! 3-4 income potentials, Highly visible commercial real estate .43 acres and residential multifamily .65 acres located across from the Amazon building, ""Lucent"", in North Andover. This property has one commercial  building on site that is approximately 1260 square foot garage, consisting of an office space, new roof, restrooms, two vehicle repair bays, with profitable cliental/business, 18 car dealer license will transfer with the sale, car display ramp, inventory consisting of waste oil heater, desks, all cabinets, ac machine, battery tester, evap smoke machine, compressor, strut machine, and more. An additional Duplex, 1.08 acres all together, 4 bedrooms, 2 baths renovated duplex,  behind property sold together !! ""Builders / Developers there is another additional .80 acres available''"|39|7/3/2025 11:11:00 AM|0|"N"||"Essex"|"MA"|"A"|"A"|1|1816|1|0|1|1260|1|0|0|0|1|||78408|1.8|25||"N"
"CI"|73303921|"BB810909"|"NB5276"|"ACT"|22|"240"|"Bear Hill Rd"||40||"02451"|"N"|"2nd floor office suite now available at 240 Bear Hill Road. Suite consists of open work space, perimeter offices and storage room. Building has ample parking and provides easy access to major highways."|5|10/18/2024 10:01:00 AM|0|"N"||"Middlesex"|"MA"|"E"|"B"|0|0|1|2068|0|0|0|0|0|0|2|1|2068|42684|0.98|8||"N"
"CI"|73303944|"BB810909"|"NB5276"|"ACT"|2500|"440"|"Totten Pond Rd"||40||"02451"|"N"|"1547 SF office suite for lease in professional office building in Waltham. Suite consists of 3 private offices, open work space and storage room. Building has ample parking and is minutes from RTE 128."|5|10/18/2024 10:33:00 AM|0|"N"||"Middlesex"|"MA"|"A"|"B"|0|0|1|1547|0|0|0|0|0|0|4|1|1547|37492|0.86|6||"N"
"CI"|73304099|"TM200171"|"G95022"|"ACT"|32|"120"|"Andover St"||320||"01923"|"N"|"High-profile 6950sf retail space directly on Andover Street, (Route 114), just off I-95. Large open floorplan with 12'-14' wall height, warehouse with loading dock, individual offices & two ADA restrooms. This is one of the most active retail corridors in the North Shore, and demographics & location are superb, average daily traffic in excess of 44,000 VPD. The property is surrounded by a who's who of high-quality retail businesses. Large lighted pylon sign at the signalized entrance, excellent signage on the front of the building & 110 shared free parking spaces in the front and rear of the property. The HVAC system has been upgraded to provide more fresh air with higher filter efficiency, resulting in high-quality filtration & lower cost. The fire alarm has also been upgraded. NNN expenses are estimated at $4psf. 5-year step-up lease with multiple 5-year options.  Space is delivered as a vanilla box, with interior modifications at the tenant's expense."|29|10/18/2024 3:25:00 PM|0|"N"||"Essex"|"MA"|"A"|"B"|0|0|0|0|1|6950|0|0|0|0|1|1|6950|102366|2.35|110|"F,K"|"N"
"CI"|73304249|"BB954486"|"NB5359"|"ACT"|22|"100"|"Corporate Pl"|"505"|315||"01960"|"N"|"Office space available June 1, 2025 at Peabody Corporate Center, a professional office building off of 95 near 128 and Route 1. Move-in ready. Excellent opportunity for a professional, doctors office, insurance, legal office, accountant, sales and marketing and many other professions. 3859 sq.ft. office space includes 11 offices and plenty of parking. Two restrooms are conveniently located right outside the unit."|36|4/16/2025 2:46:00 PM|0|"N"||"Essex"|"MA"|"E"|"B"|0|0|1|3859|0|0|0|0|0|0|5|1|3859|336283|7.72|400|"F,K,S"|"N"
"CI"|73304316|"CT000987"|"BB5474"|"ACT"|39|"2"|"University Road"||13|"HVS"|"02138"|"N"|"2,931 SF office suite for lease in Harvard Square.  10 offices / meeting rooms, 2 open areas, shared kitchen. Private entrance. Outdoor signage possible. Video tour available upon request."|16|10/19/2024 6:43:00 PM|0|"N"||"Middlesex"|"MA"|"E"|"B"|0|0|1|2931|0|0|0|0|0|0|4|1|2931|18801|0.43|0||"N"
"CI"|73304317|"CT000987"|"BB5474"|"ACT"|23.25|"48"|"New Street"|"48R (Rear)"|13|"WCM"|"02138"|"N"|"2,500 SF ground floor warehouse + 700 SF mezzanine. 17 ft clear in the warehouse area. 10' x 10' overhead door. Bathroom and shower. Parking behind the warehouse. Overnight parking possible (fenced yard)."|13|12/22/2024 11:22:00 PM|0|"N"||"Middlesex"|"MA"|"A"|"B"|0|0|0|0|0|0|1|3200|0|0|1|1|3200|51826|1.19|6|"A,B,F,S,T"|"N"
"CI"|73304320|"CT000987"|"BB5474"|"ACT"|42|"186"|"Alewife Brook Pkwy"|"300"|13|"CHL"|"02138"|"N"|"3.700 RSF office suite in excellent move-in ready condition: Large open area, 2 conference rooms, 4 offices, server room, and kitchen. Lots of natural light. Accessible elevator building. 24/7 access (key card access). Parking available behind the building for tenants and in front of the building for visitors. 0.4 mile to the Alewife T station on the MBTA Red Line. 0.3 mile to the bus stop (74 and 78 to Harvard Square). Amenities close by include Whole Foods, McDonald's, Trek, TJ Max, Staples, Apple Cinemas, Starbucks, Freepoint Hotel Cambridge, Ma Magoo's, Dunkin', Bon Me, Genki Ya, Chipotle, Trader Joe's, CVS Pharmacy, LaundroMutt, Core Power Yoga, Central Rock Gym. Parks and recreation nearby include Daheny Park, Fresh Pond Reservation (Fresh Pond dog park, Fresh Pond golf course), Lusitania Field, and Kingsley Park."|7|12/22/2024 11:35:00 PM|0|"N"||"Middlesex"|"MA"|"A"|"B"|0|0|1|3700|0|0|0|0|0|0|3|1|3700|731151|16.78|7|"F,S"|"N"
"CI"|73304326|"CT000987"|"BB5474"|"ACT"|44|"552"|"Massachusetts Ave"|"208"|13|"CNS"|"02139"|"N"|"Rare opportunity to lease a ready built-out studio with wood floors in like new condition. Ideal for uses where an open area is required including meditation, Pilates, and yoga. In addition to the open studio, the suite includes two window offices, an open area with windows, a reception area, a storage area, and shared access to a kitchenette across the hallway. Wheelchair accessible elevator building. 24/7 access. Video intercom and card access system. Monthly parking available (not included in the rent).  The building is located next to the Central Square T station on the MBTA Red Line, the Green Street Parking Garage, and a bus hub (1, 47, 64, 68, 70, 83, 91, CT1). Central Square is a cultural district located between MIT and Harvard University. Venues include the Central Square Theatre, the Dance Center, Red Fox Escape, Middle East Night Club, Sonia, La Fabrica, and Man Ray. Central Square has several markets (Target, H-Mart, Whole Foods) and 82+ restaurants."|18|6/8/2025 7:56:00 PM|0|"N"||"Middlesex"|"MA"|"E"|"B"|0|0|1|2100|0|0|0|0|0|0|2|1|2100|11791|0.27|1|"E"|"N"
"CI"|73304393|"E9500555"|"AN5319"|"ACT"|299000|"1645"|"Falmouth"|"4B"|101||"02632"|"N"|"Introducing Private Dental Office in Centerville Business Complex! This commercial condo unit, a merging of units 1B & 1E, located at 1645 Falmouth Rd, Unit 4B, Centerville, MA, offers an excellent investment opportunity in a prime location. Spanning approximately 1,592 sq. ft., this unit features a modern design perfect for any dental practice. Built in 1983, this property boasts a well-maintained interior with 1 bathroom and 8 total rooms, ideal for a dental office setup. The condo includes electric baseboard heating and convenient carpet flooring. Monthly condo fees are $639, and 2019 RE tax was $1,985. The offering price makes it it a valuable asset for investment or business expansion. Don't miss the chance to own this strategically located dental office in the bustling Centerville area. Explore this excellent investment opportunity!"|20|10/20/2024 2:45:00 PM|0|"N"||"Barnstable"|"MA"|"E"|"A"|0|0|1|1592|0|0|0|0|0|0|1|1|1592|0|0|4|"U"|"N"
"CI"|73304401|"G9502998"|"AN2766"|"ACT"|425000|"72"|"First St"||372||"01850"|"N"|"Commercial building and auto repair for sale.  The mechanical business comes with two service bay with lift, security system, office, waiting area, full bathroom and a basement for storage. Plenty of parking in the open lot and driveway."|5|10/20/2024 3:55:00 PM|0|"N"||"Middlesex"|"MA"|"A"|"A"|0|0|1|88|0|0|1|576|1|909|1|||3205|0.07|8|"A,F"|"N"
"CI"|73304422|"E9500555"|"AN5319"|"ACT"|2250|"68"|"Mercantile Way"|"4"|111||"02649"|"N"|"Available for lease, this brand-new commercial business bay, located at 68 Mercantile Way, Mashpee, MA, offers an excellent opportunity for businesses seeking a prime location. The 1,200 sq. ft. unit, with a14’ overhead door, 42 personnel doors, and private restrooms. Available at $2,500 per month (NNN), the property is suitable for a variety of commercial uses.Conveniently situated near the commercial hub of Mashpee, including Mashpee Commons, the property provides easy access to Massachusetts Routes 28 and 151, facilitating quick connections to the Bourne Bridge and the Mid-Cape area via Route 28 (Falmouth Road).Recently constructed and completed in August 2024, this flexible space can be leased to suit your business needs."|2|10/20/2024 7:52:00 PM|0|"N"||"Barnstable"|"MA"|"F"|"B"|0|0|0|0|1|1200|1|1200|1|1200|1|1|1200|0|0|2||"N"
"CI"|73304621|"BB300401"|"BB5775"|"ACT"|25|"38"|"Pond St"||34||"02038"|"N"|"Franklin, 3 Story Brick Professional Office Space Available at the intersection of Route 495 and Route 140.1,500 Square feet to 5,500 Square feet available."|6|10/21/2024 1:50:00 PM|0|"N"||"Norfolk"|"MA"|"A"|"B"|0|0|4|9000|0|0|0|0|0|0|3|12|40000|186655|4.29|120|"F"|"N"
"CI"|73304626|"BB300401"|"BB5775"|"ACT"|15|"114"|"Water St"|"B #2"|441||"01757"|"U"|"Building #2 Medical Office 1000 Square Feet of medical build-out. Previously used as a dental office"|5|10/21/2024 1:57:00 PM|0|"N"||"Worcester"|"MA"|"A"|"B"|0|0|3|1600|0|0|0|0|0|0|1|3|1600|280496|6.44|100|"F"|"U"
"CI"|73304880|"CT009071"|"D95214"|"ACT"|1300000|"6"|"Mohawk Dr"||1125||"03053"|"N"|"Free standing Retail/Office/Medical building recently built in 2019.  Excellent new condition and close to all amenities. Rt 93, Exit 4. New Salon in the first floor just signed a 5 year lease with options to renew.  Second floor is leased to professionals for office use.   Full basement with 8' ceiling height and  separate egress could be leased.  Excellent location and plenty of parking.  Close to all amenities, Manchester Airport, and I93-Exit 4. Great investment. Approx. 7% cap based on proforma operating statement."|1|10/22/2024 10:26:00 AM|0|"N"||"Rockingham"|"NH"|"E"|"A"|0|0|1|9200|0|0|0|0|0|0|2|||1.01|0|33|"K,N,S"|"N"
"CI"|73304972|"CN203791"|"BB1175"|"ACT"|19|"500"|"Franklin Village Drive"|"204"|34||"02038"|"N"|"First class office space that overlooks Route 495 and is conveniently located just off Route 495 at exit #17. Generous on-site parking. Lease Rate:  negotiable plus tenant electricity.  Shared public restrooms.  Part of large busy shopping center."|2|10/22/2024 12:36:00 PM|0|"N"||"Norfolk"|"MA"|"E"|"B"|0|0|1|4001|0|0|0|0|0|0|3|||1216021|27.92|50|"F,K,N,S"|"N"
"CI"|73305066|"H8000297"|"AN5458"|"ACT"|3200|"866"|"Merriam Ave"|"2"|454|"19D"|"01453"|"N"|"Unit 1375 S/F  Located on a plaza with several other stores at 866 Merriam Ave Leominster, MA  High traffic count and a busy plaza. This location maybe the right place for your business. Same plaza as 5 Guys Across the street from Hannaford Grocery, The Outback steakhouse, Town Fair tire and 36 other stores and businesses. Call today for a showing."|1|10/22/2024 3:18:00 PM|0|"N"||"Worcester"|"MA"|"A"|"B"|0|0|0|0|1|1375|0|0|0|0|1|1|1380|0|0|15|"F,S"|"N"
"CI"|73305811|"NB115236"|"AN1033"|"ACT"|704777|"274"|"High St"||858||"01040"|"N"|"Legacy asset next to City Hall for sale with part 1 approvals in hand totaling $4 Million of federal and state historic tax credits to be used for construction and redevelopment. Sellers can assign the tax credit approvals and application over to the new buyer. Sellers are open to staying on to help facilitate construction efforts or JV with the new sponsor. Please see conceptual design plans attached which include four units per floor. Floor plans can be modified to include more residential units on floors two and three and use of the first floor can change as well, however it's conceptually designed to accommodate a restaurant. Accompanied showings only.  More information to be provided upon request."|38|10/24/2024 12:32:00 AM|0|"N"||"Hampden"|"MA"|"B"|"A"|0|0|0|0|0|0|0|0|0|0|8||38000|3920|0.09|0||"N"
"CI"|73305870|"CT006048"|"AN4569"|"ACT"|28|"365"|"Boston Post Road"|"suite 200"|51||"01776"|"N"|"Available SOON! Prestigious Mill Village complex! 2,240 SF Office suite 200 available in upscale, professional plaza on Rt. 20 in Sudbury. Ample parking in rear of building. This second floor location is above a wide array of shops and restaurants & is located over UPS. It is a corner unit with windows galore, which provide much natural light. Handicapped-accessible, elevator in building. $28.00 SF, plus utilities and Real Estate tax increase over base year. Individual floor plans attached to MLS listing."|5|10/24/2024 8:49:00 AM|0|"N"||"Middlesex"|"MA"|"A"|"B"|0|0|1|2240|0|0|0|0|0|0|2|1|2240|6098|0.14|50||"U"
"CI"|73305904|"CT006048"|"AN4569"|"ACT"|28|"365"|"Boston Post Road"|"suite 201A"|51||"01776"|"N"|"Available SOON! Prestigious Mill Village complex! 1,388 SF Office suite 201A  available in upscale, professional plaza on Rt. 20 in Sudbury. Ample parking in rear of building. This second floor location is above a wide array of shops and restaurants & is located over UPS. It is a corner unit with windows galore, which provide much natural light. Handicapped-accessible, elevator in building. $28.00 SF, plus utilities and Real Estate tax increase over base year. Individual floor plans attached to MLS listing."|5|10/24/2024 9:55:00 AM|0|"N"||"Middlesex"|"MA"|"A"|"B"|0|0|1|1388|0|0|0|0|0|0|2|1|1388|6098|0.14|50||"U"
"CI"|73305917|"CT006048"|"AN4569"|"ACT"|28|"365"|"Boston Post Road"|"suite 201B"|51||"01776"|"N"|"Available SOON! Prestigious Mill Village complex! 852 SF Office suite 201B available in upscale, professional plaza on Rt. 20 in Sudbury. Ample parking in rear of building. This second floor location is above a wide array of shops and restaurants & is located over UPS. It is a corner unit with windows galore, which provide much natural light. Handicapped-accessible, elevator in building. $28.00 SF, plus utilities and Real Estate tax increase over base year. Individual floor plans attached to MLS listing."|5|10/24/2024 10:19:00 AM|0|"N"||"Middlesex"|"MA"|"A"|"B"|0|0|1|852|0|0|0|0|0|0|2|1|852|6098|0.14|50||"U"
"CI"|73305934|"E9500555"|"AN5319"|"ACT"|1999000|"33"|"Bassett Ln"||101||"02601"|"N"|"Introducing an exceptional investment opportunity at 33 Bassett Lane, Hyannis! This ±8,000 Sq. Ft. professional office building is ideally situated in the heart of Downtown Hyannis, just steps away from Main Street and North Street in Cape Cod's premier business location. The property offers shared office space with approximately ±4,000 Sq. Ft. per floor, including a full storage basement.Featuring ample onsite parking and adjacent to a public parking lot, this recently renovated building boasts central AC, gas heat, and a prime location zoned HVB (Hyannis Village Business) by the Town of Barnstable.Don't miss this opportunity to own a prime commercial property in a sought-after location with growth potential."|17|10/24/2024 10:54:00 AM|0|"N"||"Barnstable"|"MA"|"E"|"A"|0|0|1|8000|0|0|0|0|0|0|2|1|8000|18731|0.43|15|"F,R,S,U"|"N"
"CI"|73305988|"D0006378"|"AN7688"|"ACT"|1200|"2-2A"|"Groton Rd"||376||"01863"|"N"|"HIGH TRAFFIC LOCATION WITH GOOD SIGNAGE, VISABILITY, AND PARKING IN THE REAR!  This second floor office/business space has 4 Private Rooms, Reception Area, and 1/2 Bath.  There are 2 Dedicated Parking Spaces in the Private Lot in the Rear of the Building plus Street Parking.  Located near Rt. 3, Rt.40, Drumhill Business District, Rt. 4, Rt.110, Public Transportation, and Vynal Square Business District.  Water is Included.  All other utilities not included.  AVAILABLE IMMEDIATELY."|16|10/30/2024 1:40:00 PM|0|"N"||"Middlesex"|"MA"|"E"|"B"|0|0|4|900|0|0|0|0|0|0|2|||6098|0.14|2|"A,D,N,S"|"N"
"CI"|73306140|"NB113564"|"NB1286"|"ACT"|1|"334"|"Pleasant St"||43||"02478"|"N"|"call list agent"|2|10/24/2024 4:00:00 PM|0|"N"||"Middlesex"|"MA"|"A"|"A"|0|0|0|0|0|0|1|11500|0|0|2|||14420|0.33|15||"N"
"CI"|73306148|"NB113564"|"NB1286"|"ACT"|1|"40"|"Brick Kiln Rd"||376||"01824"|"N"|"call list agent"|2|10/24/2024 4:17:00 PM|0|"N"||"Middlesex"|"MA"|"A"|"A"|0|0|0|0|0|0|1|19946|0|0|1|||209088|4.8|81||"N"
"CI"|73306159|"NB113564"|"NB1286"|"ACT"|1|"30"|"Golf Dr"||213||"02360"|"N"|"call list agent"|7|10/24/2024 4:34:00 PM|0|"N"||"Plymouth"|"MA"|"A"|"A"|0|0|0|0|0|0|1|37840|0|0|2|||95915|2.2|1||"N"
"CI"|73306301|"TM344405"|"AN2383"|"ACT"|700000|"347"|"Dartmouth St"||156|"23C"|"02740"|"N"|"Introducing 347 Dartmouth Street, a prominent commercial property located in a mixed-use zone in New Bedford, MA, celebrated for its long-standing business presence. This 5590sqft facility on an 8,529 sq ft lot offers a solid foundation for varied operations including current mechanic use, other business, or potential redevelopment. Equipped with six drive-in doors, eight service bays, & eight hydraulic lifts, it is ideal for automotive or industrial applications.The property includes dedicated office space and ample storage, with two bathrooms enhancing convenience. Situated in a high-traffic area, it offers excellent visibility & accessibility, providing businesses with the opportunity to engage consistently with foot and vehicle traffic. This versatile property is a smart investment for those looking to maintain or establish a lasting commercial presence in a thriving community.  Sale includes real estate & fixtures.  Business can be purchased separately.  3D tour available."|31|2/6/2025 9:48:00 AM|0|"N"||"Bristol"|"MA"|"A"|"A"|0|0|1|100|0|0|1|5490|0|0|2||5590|8529|0.2|10|"A,E,G,N"|"N"
"CI"|73306342|"CN227113"|"AN8977"|"ACT"|1050000|"0"|"Allen St (Ss)"||839|"842"|"01118"|"N"|"Commercial development opportunity in one of Springfield’s most populated and affluent neighborhoods, 16 Acres. The parcel is well-positioned at the busy, signalized intersection of Allen Street and Bicentennial Highway, with greater than 30,000 vehicles passing daily. Neighboring sites include Bicentennial Plaza (a popular local retail center), Florence Bank, McDonald’s, Wendy’s, and several medical properties. At the crossroads of Springfield's suburbs, the site benefits from great visibility, strong east-west commuter traffic, and is convenient to regional retail hub Five Town Plaza. Many usage and configuration possibilities for retailers, QSRs, etc. Split commercial and residential zoning. The site includes a right-of-way to the traffic signal."|10|10/25/2024 9:47:00 AM|0|"N"||"Hampden"|"MA"|"D"|"C"|0|0|0|0|0|0|0|0|0|0|0|||150282|3.45|0||"N"
"CI"|73306454|"CN226304"|"AN4340"|"ACT"|300|"114"|"Pleasant"|"120"|428||"01550"|"N"|"Office space available for Biotech or Medical Device Startups in this beautiful refurbished schoolhouse.  Ideal for startups companies. Free off-street parking. Common areas include conference rooms, kitchen, café, restrooms, shower, and machine shop. Utilities, internet and WIFI included. Easy access to major highways.  Tenancy at Will Agreement.  Building is for Sale.  Security Deposit of four months rent required."|9|10/25/2024 1:25:00 PM|0|"N"||"Worcester"|"MA"|"A"|"B"|0|0|1|96|0|0|0|0|0|0|2|1|96|50965|1.17|10|"A"|"N"
"CI"|73306456|"CT004892"|"AN5472"|"ACT"|1300|"42"|"Amherst Rd"||524||"01375"|"N"|"This building in a high traffic location in Sunderland center, convenient to I-91, offers a ~750 sf commercial unit. Open floor plan in the front rooms/entrance. Many south-facing windows brighten these spaces and parking lot has space for ~15 cars. At asking rent, landlord is open to making improvements/alterations for tenant's intended use. Perfect for office or retail."|4|10/25/2024 1:29:00 PM|0|"N"||"Franklin"|"MA"|"A"|"B"|0|0|1|742|0|0|0|0|0|0|1|||21780|0.5|15|"J,N,S"|"N"
"CI"|73306457|"CN226304"|"AN4340"|"ACT"|500|"114"|"Pleasant"|"122 Recepti"|428||"01550"|"N"|"Office space/Reception Area available in this beautiful refurbished schoolhouse.  Ideal for biomedical, medical device, and tech startups/companies. Free off-street parking. Common areas include conference rooms, kitchen, café, restrooms, shower, and machine shop. Utilities, internet and WIFI included and use of network copier/printers. Easy access to major highways. Tenancy at Will Agreement.  Building is For Sale."|11|10/25/2024 1:33:00 PM|0|"N"||"Worcester"|"MA"|"A"|"B"|0|0|1|150|0|0|0|0|0|0|2|1|150|50965|1.17|10|"A,N,S"|"N"
"CI"|73306473|"CN226304"|"AN4340"|"ACT"|1800|"114"|"Pleasant"|"113"|428||"01550"|"N"|"675 sq ft Lab in refurbished schoolhouse.  Ideal for tech and medical device startups. Free off-street parking. Common areas include conference rooms, kitchen, café, restrooms, shower, and machine shop/maker space with 3D printer. Internet and WIFI included and use of network copier/printers.   Intended use of building is for biomedical, medical device, and tech startups. Building is also for Sale. Tenancy at Will Agreements."|16|12/5/2024 8:50:00 AM|0|"N"||"Worcester"|"MA"|"A"|"B"|0|0|0|0|0|0|0|0|1|675|2|||50965|1.17|10|"A"|"N"
"CI"|73306477|"CN226304"|"AN4340"|"ACT"|1200|"114"|"Pleasant"|"110"|428||"01550"|"N"|"350 sq ft Lab in refurbished schoolhouse.  Ideal for tech and medical device startups. Free off-street parking. Common areas include conference rooms, kitchen, café, restrooms, shower, and machine shop/maker space with 3D printer. Internet and WIFI included and use of network copier/printers.   Intended use of building is for biomedical, medical device, and tech startups. Building is also for Sale. Tenancy at Will Agreements."|21|12/5/2024 8:53:00 AM|0|"N"||"Worcester"|"MA"|"A"|"B"|0|0|0|0|0|0|0|0|1|350|2|||50965|1.17|10|"A"|"N"
"CI"|73306479|"CN226304"|"AN4340"|"ACT"|300|"114"|"Pleasant"|"119"|428||"01550"|"N"|"Office OR LAB space available in this beautiful refurbished schoolhouse.  Ideal for biomedical, medical device, and tech startups/companies. Free off-street parking. Common areas include conference rooms, kitchen, café, restrooms, shower, and machine shop. Utilities, internet and WIFI included. Easy access to major highways.  ***Option to convert office to BL2 Lab at $600/month with 24 month minimum lease, (and utilities not included) in this case."|17|10/25/2024 2:06:00 PM|0|"N"||"Worcester"|"MA"|"A"|"B"|0|0|1|96|0|0|0|0|0|0|2|1|96|50965|1.17|10|"A"|"N"
"CI"|73306482|"G0001742"|"G58000"|"ACT"|18|"30"|"Massachusetts Avenue"|"301"|362||"01845"|"N"|"North Andover's best address.  Located adjacent to Route 495 at the Massachusetts Avenue exit. Suite 301 offers five private offices, open office area, conference room, storage room and reception area, 2,567 +/- square feet of gross rentable area. Gross Lease - all utilities are included, NO CAM CHARGES."|7|11/14/2024 10:33:00 AM|0|"N"||"Essex"|"MA"|"E"|"B"|0|0|28|48000|0|0|0|0|0|0|4|28|48000|48787|1.12|120|"F,K,L,N,S,U"|"N"
"CI"|73306567|"CN221938"|"AN3526"|"ACT"|19.5|"500"|"Cummings Center"|"3490"|319||"01915"|"N"|""|8|10/25/2024 5:37:00 PM|0|"N"||"Essex"|"MA"|"E"|"B"|0|0|1|5833|0|0|0|0|0|0|7|1|5833|304920|7|900|"E"|"N"
